,PAN_Number,Mother Name,Permanent_Address,modified_date,Mobile Number,Temporary_Address,SpouseName,Customer ID,votersID,SC Number,National Id,Gender,Customer Code,Date of Birth,License Number,votersAge,soup1,Father_Name,Name,source,Blood Group,Citizenship Number
0,ABCDE1234F,Laxmi Thapa,"Baluwatar, Kathmandu, Nepal",2024-05-30 04:23:34.792480,1234567890,"Gongabu, Kathmandu, Nepal",Sita Thapa,3245,11116874,001.01.01,AB123C,Male,21216874,1990-01-01,15-05-58353205,45,ramthapa 1990-01-01 rambahadurthapa,Ram Bahadur Thapa,Ram Thapa,"bank, esewa, voter, electricity, license",AB+,624-93227-32431/660086
1,FGHIJ5678K,Radha Sharma,"Lakeside, Pokhara, Nepal",2024-05-30 04:23:34.795481,2345678901,"New Road, Pokhara, Nepal",Ravi Sharma,3246,22259363,001.01.02,DE456F,Female,22359363,1991-02-02,21-08-00435579,38,sitashrestha 1991-02-02 hariprasadshrestha,Hari Prasad Shrestha,Sita Shrestha,"bank, esewa, voter, electricity, license",AB-,747-42087-31417/584714
2,LMNOP9012L,Gita Adhikari,"Chitwan National Park, Chitwan, Nepal",2024-05-30 04:23:34.797731,3456789012,"Pulchowk, Lalitpur, Nepal",Maya Adhikari,3247,33385241,001.01.03,GH789I,Male,33485241,1992-03-03,93-12-35351480,52,harigurung 1992-03-03 gopalkrishnagurung,Gopal Krishna Gurung,Hari Gurung,"bank, esewa, voter, electricity, license",B-,389-45382-93886/821590
3,QRSTU3456M,Mina Rai,"Biratnagar, Morang, Nepal",2024-05-30 04:23:34.800172,4567890123,"Bagbazar, Kathmandu, Nepal",Surya Rai,3248,44475489,001.01.04,JK012L,Female,45475489,1993-04-04,65-03-68139881,30,gitatamang 1993-04-04 shyamlaltamang,Shyam Lal Tamang,Gita Tamang,"bank, esewa, voter, electricity, license",A-,571-38785-99733/440035
4,VWXYZ7890N,Kalpana Karki,"Bharatpur, Chitwan, Nepal",2024-05-30 04:23:34.804400,5678901234,"Balkumari, Lalitpur, Nepal",Sarita Karki,3249,55562139,001.01.05,MN345O,Male,56562139,1994-05-05,14-11-40056582,27,mohanlama 1994-05-05 krishnarajlama,Krishna Raj Lama,Mohan Lama,"bank, esewa, voter, electricity, license",A+,864-17331-40021/961722
5,ABCD1234PQ,Nima Gurung,"Butwal, Rupandehi, Nepal",2024-05-30 04:23:34.808871,6789012345,"Chabahil, Kathmandu, Nepal",Pemba Gurung,3250,66698214,001.01.06,PQ678R,Female,67698214,1995-06-06,82-09-81734599,41,radhamagar 1995-06-06 narayankumarmagar,Narayan Kumar Magar,Radha Magar,"bank, esewa, voter, electricity, license",B-,033-51347-62581/380746
6,EFGH5678RS,Saru Shrestha,"Hetauda, Makwanpur, Nepal",2024-05-30 04:23:34.811298,7890123456,"Kumaripati, Lalitpur, Nepal",Laxmi Shrestha,3251,77714635,001.01.07,ST901U,Male,78714635,1996-07-07,26-03-50185868,36,krishnarai 1996-07-07 govindabahadurrai,Govinda Bahadur Rai,Krishna Rai,"bank, esewa, voter, electricity, license",AB+,068-37653-84341/852787
7,TUVW9012XY,Nanu Maharjan,"Janakpur, Dhanusa, Nepal",2024-05-30 04:23:34.813574,8901234567,"New Baneshwor, Kathmandu, Nepal",Raj Maharjan,3252,88847326,001.01.08,VW234X,Female,89847326,1997-08-08,98-03-72394228,50,saritasherpa 1997-08-08 shivanarayansherpa,Shiva Narayan Sherpa,Sarita Sherpa,"bank, esewa, voter, electricity, license",A-,323-37869-95909/623481
8,ZABC3456DE,Lhamu Tamang,"Nepalgunj, Banke, Nepal",2024-05-30 04:23:34.815823,9012345678,"Boudha, Kathmandu, Nepal",Pema Tamang,3253,99953421,001.01.09,YZ567A,Male,91953421,1998-09-09,68-01-80388982,43,bikashkarki 1998-09-09 bhagirathbahadurkarki,Bhagirath Bahadur Karki,Bikash Karki,"bank, esewa, voter, electricity, license",B-,406-94259-70142/249811
9,FGHI7890JK,Lila KC,"Dharan, Sunsari, Nepal",2024-05-30 04:23:34.818131,123456789,"Kalanki, Kathmandu, Nepal",Manish KC,3254,10103847,001.01.10,BC890D,Female,10203847,1999-10-10,42-08-02614125,34,nishabhandari 1999-10-10 suryabahadurbhandari,Surya Bahadur Bhandari,Nisha Bhandari,"bank, esewa, voter, electricity, license",A-,272-28301-42325/881177
