source,Permanent_Address,votersAge,Mobile Number,Mother Name,Temporary_Address,Date of Birth,Citizenship Number,PAN_Number,Customer Code,votersID,last_modified_date,soup,Gender,Father_Name,Blood Group,License Number,SC Number,Customer ID,National Id,Name,SpouseName,uuid
"layout1, layout2, layout3, layout4, layout5","Baluwatar, Kathmandu, Nepal",45,1234567890,Laxmi Thapa,"Gongabu, Kathmandu, Nepal",1990-01-01,624-93227-32431/660086,ABCDE1234F,21216874,11116874,2024-05-30 17:00:43.682396,ramthapa 1990-01-01 rambahadurthapa,Male,Ram Bahadur Thapa,AB+,15-05-58353205,001.01.01,3245,AB123C,Ram Thapa,Sita Thapa,8130816101990
"layout1, layout2, layout3, layout4, layout5","Lakeside, Pokhara, Nepal",38,2345678901,Radha Sharma,"New Road, Pokhara, Nepal",1991-02-02,747-42087-31417/584714,FGHIJ5678K,22359363,22259363,2024-05-30 17:00:43.682396,sitashrestha 1991-02-02 hariprasadshrestha,Female,Hari Prasad Shrestha,AB-,21-08-00435579,001.01.02,3246,DE456F,Sita Shrestha,Ravi Sharma,9901988590810
"layout1, layout2, layout3, layout4, layout5","Chitwan National Park, Chitwan, Nepal",52,3456789012,Gita Adhikari,"Pulchowk, Lalitpur, Nepal",1992-03-03,389-45382-93886/821590,LMNOP9012L,33485241,33385241,2024-05-30 17:00:43.682396,harigurung 1992-03-03 gopalkrishnagurung,Male,Gopal Krishna Gurung,B-,93-12-35351480,001.01.03,3247,GH789I,Hari Gurung,Maya Adhikari,8189718147019
"layout1, layout2, layout3, layout4, layout5","Biratnagar, Morang, Nepal",30,4567890123,Mina Rai,"Bagbazar, Kathmandu, Nepal",1993-04-04,571-38785-99733/440035,QRSTU3456M,45475489,44475489,2024-05-30 17:00:43.682396,gitatamang 1993-04-04 shyamlaltamang,Female,Shyam Lal Tamang,A-,65-03-68139881,001.01.04,3248,JK012L,Gita Tamang,Surya Rai,7901013147019
"layout1, layout2, layout3, layout4","Bharatpur, Chitwan, Nepal",27,5678901234,Kalpana Karki,,1994-05-05,,VWXYZ7890N,56562139,55562139,2024-05-30 17:00:43.646650,mohanlama 1994-05-05 krishnarajlama,Male,Krishna Raj Lama,,,001.01.05,3249,MN345O,Mohan Lama,Sarita Karki,3581421310199
"layout1, layout2, layout3, layout4, layout5","Butwal, Rupandehi, Nepal",41,6789012345,Nima Gurung,"Chabahil, Kathmandu, Nepal",1995-06-06,033-51347-62581/380746,ABCD1234PQ,67698214,66698214,2024-05-30 17:00:43.682396,radhamagar 1995-06-06 narayankumarmagar,Female,Narayan Kumar Magar,B-,82-09-81734599,001.01.06,3250,PQ678R,Radha Magar,Pemba Gurung,8148131718019
"layout1, layout2, layout3, layout4","Hetauda, Makwanpur, Nepal",36,7890123456,Saru Shrestha,"Kumaripati, Lalitpur, Nepal",1996-07-07,,EFGH5678RS,78714635,77714635,2024-05-30 17:00:43.651656,krishnarai 1996-07-07 govindabahadurrai,Male,Govinda Bahadur Rai,,,001.01.07,3251,ST901U,Krishna Rai,Laxmi Shrestha,1899841819019
"layout1, layout2, layout3, layout4, layout5","Janakpur, Dhanusa, Nepal",50,8901234567,Nanu Maharjan,"New Baneshwor, Kathmandu, Nepal",1997-08-08,323-37869-95909/623481,TUVW9012XY,89847326,88847326,2024-05-30 17:00:43.682396,saritasherpa 1997-08-08 shivanarayansherpa,Female,Shiva Narayan Sherpa,A-,98-03-72394228,001.01.08,3252,VW234X,Sarita Sherpa,Raj Maharjan,9189019858610
"layout1, layout2, layout3, layout4","Nepalgunj, Banke, Nepal",43,9012345678,Lhamu Tamang,"Boudha, Kathmandu, Nepal",1998-09-09,,ZABC3456DE,91953421,99953421,2024-05-30 17:00:43.655655,bikashkarki 1998-09-09 bhagirathbahadurkarki,Male,Bhagirath Bahadur Karki,,,001.01.09,3253,YZ567A,Bikash Karki,Pema Tamang,2911981181901
"layout1, layout2, layout3, layout4, layout5","Dharan, Sunsari, Nepal",34,123456789,Lila KC,"Kalanki, Kathmandu, Nepal",1999-10-10,272-28301-42325/881177,FGHI7890JK,10203847,10103847,2024-05-30 17:00:43.682396,nishabhandari 1999-10-10 suryabahadurbhandari,Female,Surya Bahadur Bhandari,A-,42-08-02614125,001.01.10,3254,BC890D,Nisha Bhandari,Manish KC,4998128144189
