Customer Code,National Id,soup1,Temporary_Address,SpouseName,votersID,Date of Birth,votersAge,Gender,source,PAN_Number,Name,modified_date,SC Number,Permanent_Address,Father_Name,Mother Name,Customer ID,Mobile Number
21216874,AB123C,ramthapa 1990-01-01 rambahadurthapa,,Sita Thapa,11116874,1990-01-01,45,Male,"layout1.csv, layout2.csv, layout3.csv, layout4.csv",ABCDE1234F,Ram Thapa,2024-05-30 08:17:26.467007,001.01.01,"Baluwatar, Kathmandu, Nepal",Ram Bahadur Thapa,Laxmi Thapa,3245,1234567890
22359363,DE456F,sitashrestha 1991-02-02 hariprasadshrestha,"New Road, Pokhara, Nepal",Ravi Sharma,22259363,1991-02-02,38,Female,"layout1.csv, layout2.csv, layout3.csv, layout4.csv",FGHIJ5678K,Sita Shrestha,2024-05-30 08:17:26.470405,001.01.02,"Lakeside, Pokhara, Nepal",Hari Prasad Shrestha,Radha Sharma,3246,2345678901
33485241,GH789I,harigurung 1992-03-03 gopalkrishnagurung,"Pulchowk, Lalitpur, Nepal",Maya Adhikari,33385241,1992-03-03,52,Male,"layout1.csv, layout2.csv, layout3.csv, layout4.csv",LMNOP9012L,Hari Gurung,2024-05-30 08:17:26.472868,001.01.03,"Chitwan National Park, Chitwan, Nepal",Gopal Krishna Gurung,Gita Adhikari,3247,3456789012
45475489,JK012L,gitatamang 1993-04-04 shyamlaltamang,"Bagbazar, Kathmandu, Nepal",Surya Rai,44475489,1993-04-04,30,Female,"layout1.csv, layout2.csv, layout3.csv, layout4.csv",QRSTU3456M,Gita Tamang,2024-05-30 08:17:26.475621,001.01.04,"Biratnagar, Morang, Nepal",Shyam Lal Tamang,Mina Rai,3248,4567890123
56562139,MN345O,mohanlama 1994-05-05 krishnarajlama,,Sarita Karki,55562139,1994-05-05,27,Male,"layout1.csv, layout2.csv, layout3.csv, layout4.csv",VWXYZ7890N,Mohan Lama,2024-05-30 08:17:26.477640,001.01.05,"Bharatpur, Chitwan, Nepal",Krishna Raj Lama,Kalpana Karki,3249,5678901234
67698214,PQ678R,radhamagar 1995-06-06 narayankumarmagar,"Chabahil, Kathmandu, Nepal",Pemba Gurung,66698214,1995-06-06,41,Female,"layout1.csv, layout2.csv, layout3.csv, layout4.csv",ABCD1234PQ,Radha Magar,2024-05-30 08:17:26.479626,001.01.06,"Butwal, Rupandehi, Nepal",Narayan Kumar Magar,Nima Gurung,3250,6789012345
78714635,ST901U,krishnarai 1996-07-07 govindabahadurrai,"Kumaripati, Lalitpur, Nepal",Laxmi Shrestha,77714635,1996-07-07,36,Male,"layout1.csv, layout2.csv, layout3.csv, layout4.csv",EFGH5678RS,Krishna Rai,2024-05-30 08:17:26.481727,001.01.07,"Hetauda, Makwanpur, Nepal",Govinda Bahadur Rai,Saru Shrestha,3251,7890123456
89847326,VW234X,saritasherpa 1997-08-08 shivanarayansherpa,,Raj Maharjan,88847326,1997-08-08,50,Female,"layout1.csv, layout2.csv, layout3.csv, layout4.csv",TUVW9012XY,Sarita Sherpa,2024-05-30 08:17:26.484246,001.01.08,"Janakpur, Dhanusa, Nepal",Shiva Narayan Sherpa,Nanu Maharjan,3252,8901234567
91953421,YZ567A,bikashkarki 1998-09-09 bhagirathbahadurkarki,"Boudha, Kathmandu, Nepal",Pema Tamang,99953421,1998-09-09,43,Male,"layout1.csv, layout2.csv, layout3.csv, layout4.csv",ZABC3456DE,Bikash Karki,2024-05-30 08:17:26.487226,001.01.09,"Nepalgunj, Banke, Nepal",Bhagirath Bahadur Karki,Lhamu Tamang,3253,9012345678
10203847,BC890D,nishabhandari 1999-10-10 suryabahadurbhandari,"Kalanki, Kathmandu, Nepal",Manish KC,10103847,1999-10-10,34,Female,"layout1.csv, layout2.csv, layout3.csv, layout4.csv",FGHI7890JK,Nisha Bhandari,2024-05-30 08:17:26.489431,001.01.10,"Dharan, Sunsari, Nepal",Surya Bahadur Bhandari,Lila KC,3254,123456789
