Mother Name,soup,SC Number,Blood Group,Temporary_Address,Customer ID,National Id,votersID,last_modified_date,Permanent_Address,SpouseName,votersAge,source,Father_Name,Gender,Mobile Number,PAN_Number,Name,License Number,Customer Code,Citizenship Number,Date of Birth,uuid
Laxmi Thapa,ramthapa 1990-01-01 rambahadurthapa,001.01.01,AB+,"Gongabu, Kathmandu, Nepal",3245,AB123C,11116874,2024-05-31 10:24:53.963933,"Baluwatar, Kathmandu, Nepal",Sita Thapa,45,"layout1.csv, layout2.csv, layout3.csv, layout4.csv, layout5.csv",Ram Bahadur Thapa,Male,1234567890,ABCDE1234F,Ram Thapa,15-05-58353205,21216874,624-93227-32431/660086,1990-01-01,8130816101990
Radha Sharma,sitashrestha 1991-02-02 hariprasadshrestha,001.01.02,AB-,"New Road, Pokhara, Nepal",3246,DE456F,22259363,2024-05-31 10:24:53.966121,"Lakeside, Pokhara, Nepal",Ravi Sharma,38,"layout1.csv, layout2.csv, layout3.csv, layout4.csv, layout5.csv",Hari Prasad Shrestha,Female,2345678901,FGHIJ5678K,Sita Shrestha,21-08-00435579,22359363,747-42087-31417/584714,1991-02-02,9901988590810
Gita Adhikari,harigurung 1992-03-03 gopalkrishnagurung,001.01.03,B-,"Pulchowk, Lalitpur, Nepal",3247,GH789I,33385241,2024-05-31 10:24:53.968021,"Chitwan National Park, Chitwan, Nepal",Maya Adhikari,52,"layout1.csv, layout2.csv, layout3.csv, layout4.csv, layout5.csv",Gopal Krishna Gurung,Male,3456789012,LMNOP9012L,Hari Gurung,93-12-35351480,33485241,389-45382-93886/821590,1992-03-03,8189718147019
Mina Rai,gitatamang 1993-04-04 shyamlaltamang,001.01.04,A-,"Bagbazar, Kathmandu, Nepal",3248,JK012L,44475489,2024-05-31 10:24:53.969919,"Biratnagar, Morang, Nepal",Surya Rai,30,"layout1.csv, layout2.csv, layout3.csv, layout4.csv, layout5.csv",Shyam Lal Tamang,Female,4567890123,QRSTU3456M,Gita Tamang,65-03-68139881,45475489,571-38785-99733/440035,1993-04-04,7901013147019
Kalpana Karki,mohanlama 1994-05-05 krishnarajlama,001.01.05,,,3249,MN345O,55562139,2024-05-31 10:24:53.926538,"Bharatpur, Chitwan, Nepal",Sarita Karki,27,"layout1.csv, layout2.csv, layout3.csv, layout4.csv",Krishna Raj Lama,Male,5678901234,VWXYZ7890N,Mohan Lama,,56562139,,1994-05-05,3581421310199
Nima Gurung,radhamagar 1995-06-06 narayankumarmagar,001.01.06,B-,"Chabahil, Kathmandu, Nepal",3250,PQ678R,66698214,2024-05-31 10:24:53.973371,"Butwal, Rupandehi, Nepal",Pemba Gurung,41,"layout1.csv, layout2.csv, layout3.csv, layout4.csv, layout5.csv",Narayan Kumar Magar,Female,6789012345,ABCD1234PQ,Radha Magar,82-09-81734599,67698214,033-51347-62581/380746,1995-06-06,8148131718019
Saru Shrestha,krishnarai 1996-07-07 govindabahadurrai,001.01.07,,"Kumaripati, Lalitpur, Nepal",3251,ST901U,77714635,2024-05-31 10:24:53.930233,"Hetauda, Makwanpur, Nepal",Laxmi Shrestha,36,"layout1.csv, layout2.csv, layout3.csv, layout4.csv",Govinda Bahadur Rai,Male,7890123456,EFGH5678RS,Krishna Rai,,78714635,,1996-07-07,1899841819019
Nanu Maharjan,saritasherpa 1997-08-08 shivanarayansherpa,001.01.08,A-,"New Baneshwor, Kathmandu, Nepal",3252,VW234X,88847326,2024-05-31 10:24:53.976220,"Janakpur, Dhanusa, Nepal",Raj Maharjan,50,"layout1.csv, layout2.csv, layout3.csv, layout4.csv, layout5.csv",Shiva Narayan Sherpa,Female,8901234567,TUVW9012XY,Sarita Sherpa,98-03-72394228,89847326,323-37869-95909/623481,1997-08-08,9189019858610
Lhamu Tamang,bikashkarki 1998-09-09 bhagirathbahadurkarki,001.01.09,,"Boudha, Kathmandu, Nepal",3253,YZ567A,99953421,2024-05-31 10:24:53.933806,"Nepalgunj, Banke, Nepal",Pema Tamang,43,"layout1.csv, layout2.csv, layout3.csv, layout4.csv",Bhagirath Bahadur Karki,Male,9012345678,ZABC3456DE,Bikash Karki,,91953421,,1998-09-09,2911981181901
Lila KC,nishabhandari 1999-10-10 suryabahadurbhandari,001.01.10,A-,"Kalanki, Kathmandu, Nepal",3254,BC890D,10103847,2024-05-31 10:24:53.979250,"Dharan, Sunsari, Nepal",Manish KC,34,"layout1.csv, layout2.csv, layout3.csv, layout4.csv, layout5.csv",Surya Bahadur Bhandari,Female,123456789,FGHI7890JK,Nisha Bhandari,42-08-02614125,10203847,272-28301-42325/881177,1999-10-10,4998128144189
